"MacroTrends Data Download"
"ATVI - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1994-05-31,0.4203,0.4203,0.4203,0.4203,0
1994-06-01,0.3655,0.3838,0.3655,0.3838,7596
1994-06-02,0.3838,0.3838,0.3838,0.3838,0
1994-06-03,0.3838,0.3838,0.3838,0.3838,0
1994-06-06,0.3838,0.3838,0.3838,0.3838,0
1994-06-07,0.3838,0.4021,0.3838,0.4021,9804
1994-06-08,0.3655,0.4021,0.3655,0.4021,2004
1994-06-09,0.4021,0.4021,0.4021,0.4021,0
1994-06-10,0.3655,0.4934,0.3655,0.4934,12804
1994-06-13,0.4934,0.4934,0.4934,0.4934,204
1994-06-14,0.4021,0.4021,0.3655,0.3655,25800
1994-06-15,0.3655,0.3655,0.3655,0.3655,3204
1994-06-16,0.3655,0.3838,0.3655,0.3838,2004
1994-06-17,0.4021,0.4021,0.4021,0.4021,19404
1994-06-20,0.4203,0.4203,0.4203,0.4203,3204
1994-06-21,0.3933,0.4386,0.3655,0.3655,65196
1994-06-22,0.4203,0.4203,0.3743,0.3743,14004
1994-06-23,0.3743,0.3743,0.3743,0.3743,0
1994-06-24,0.3743,0.3743,0.3743,0.3743,0
1994-06-27,0.3743,0.3743,0.3655,0.3655,48204
1994-06-28,0.3655,0.3655,0.3655,0.3655,0
1994-06-29,0.3699,0.3699,0.3699,0.3699,45996
1994-06-30,0.4386,0.4386,0.4386,0.4386,204
1994-07-01,0.4386,0.4386,0.3655,0.3655,144000
1994-07-05,0.3655,0.3655,0.3655,0.3655,11604
1994-07-06,0.3655,0.3655,0.3655,0.3655,0
1994-07-07,0.3655,0.3743,0.2098,0.2559,1029204
1994-07-08,0.2376,0.3838,0.2376,0.3838,7922004
1994-07-11,0.3838,0.4021,0.3385,0.3838,137604
1994-07-12,0.3655,0.3655,0.3655,0.3655,22404
1994-07-13,0.3838,0.3838,0.3290,0.3290,38400
1994-07-14,0.3655,0.3655,0.3655,0.3655,26796
1994-07-15,0.3743,0.3743,0.3743,0.3743,11604
1994-07-18,0.3743,0.3743,0.3290,0.3290,16200
1994-07-19,0.3290,0.3290,0.3290,0.3290,0
1994-07-20,0.3472,0.3567,0.3472,0.3567,11604
1994-07-21,0.3107,0.3107,0.3107,0.3107,2004
1994-07-22,0.3107,0.3107,0.3107,0.3107,0
1994-07-25,0.3743,0.3743,0.3743,0.3743,2004
1994-07-26,0.3743,0.3743,0.3743,0.3743,0
1994-07-27,0.3743,0.3743,0.3743,0.3743,0
1994-07-28,0.3195,0.3195,0.3195,0.3195,33204
1994-07-29,0.3195,0.3794,0.3195,0.3472,22404
1994-08-01,0.3743,0.3743,0.3472,0.3472,228396
1994-08-02,0.3385,0.3472,0.3290,0.3290,230604
1994-08-03,0.3290,0.3290,0.3290,0.3290,0
1994-08-04,0.3655,0.3655,0.3290,0.3655,489600
1994-08-05,0.3655,0.3655,0.3290,0.3290,12804
1994-08-08,0.3290,0.3290,0.3290,0.3290,4404
1994-08-09,0.2924,0.3655,0.2924,0.2924,48204
1994-08-10,0.3290,0.3290,0.2924,0.2924,14796
1994-08-11,0.2924,0.2924,0.2924,0.2924,0
1994-08-12,0.2924,0.2924,0.2924,0.2924,0
1994-08-15,0.3655,0.3655,0.3107,0.3655,24396
1994-08-16,0.3655,0.3655,0.3655,0.3655,0
1994-08-17,0.3655,0.3655,0.3151,0.3151,48000
1994-08-18,0.3655,0.3655,0.3012,0.3012,67200
1994-08-19,0.3472,0.3472,0.3472,0.3472,6600
1994-08-22,0.3472,0.3472,0.3012,0.3195,57600
1994-08-23,0.3385,0.3655,0.3195,0.3290,38604
1994-08-24,0.2924,0.2924,0.2924,0.2924,35400
1994-08-25,0.3195,0.3290,0.3195,0.3195,19404
1994-08-26,0.3472,0.3472,0.3107,0.3290,138804
1994-08-29,0.3290,0.3290,0.3290,0.3290,0
1994-08-30,0.3290,0.3290,0.3290,0.3290,0
1994-08-31,0.3107,0.3107,0.3107,0.3107,2004
1994-09-01,0.3472,0.3472,0.3290,0.3290,14004
1994-09-02,0.3290,0.3290,0.3290,0.3290,0
1994-09-06,0.3290,0.3290,0.3290,0.3290,0
1994-09-07,0.2924,0.3472,0.2924,0.3472,214404
1994-09-08,0.3290,0.3290,0.3290,0.3290,3204
1994-09-09,0.3290,0.3290,0.3290,0.3290,0
1994-09-12,0.2646,0.3472,0.2559,0.3195,1032396
1994-09-13,0.3472,0.3472,0.3472,0.3472,2004
1994-09-14,0.3290,0.3290,0.3290,0.3290,7596
1994-09-15,0.3290,0.3290,0.3290,0.3290,0
1994-09-16,0.3290,0.3472,0.3012,0.3195,3193800
1994-09-19,0.3472,0.3472,0.3290,0.3472,269004
1994-09-20,0.3655,0.3655,0.3290,0.3290,33996
1994-09-21,0.3567,0.4021,0.3567,0.4021,547200
1994-09-22,0.4021,0.4021,0.3838,0.3933,35400
1994-09-23,0.4021,0.4021,0.3655,0.4021,36396
1994-09-26,0.4021,0.4021,0.3655,0.4021,25800
1994-09-27,0.4021,0.4021,0.3838,0.3933,42804
1994-09-28,0.3933,0.3933,0.3933,0.3933,0
1994-09-29,0.4021,0.4021,0.3838,0.3838,90804
1994-09-30,0.4203,0.4203,0.4108,0.4203,59604
1994-10-03,0.4203,0.4203,0.3838,0.3838,33204
1994-10-04,0.4203,0.4203,0.4203,0.4203,204
